PCE - Programa de Controle da Esquistossomose - Pernambuco
% Positividade por Município e Ano
Período:2001-2023
"Município";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"Total"
"260520 ESCADA";...;37,59;40,41;22,29;29,32;36,88;35,57;29,70;36,59;14,94;34,03;20,46;19,44;13,26;18,52;12,59;13,16;10,82;10,34;4,30;5,48;0,77;...;20,41
"260540 FEIRA NOVA";...;...;...;...;...;...;...;...;...;...;...;-;...;0,40;0,47;0,19;0,71;0,14;0,06;0,08;-;0,81;...;0,24
"260550 FERREIROS";...;...;...;...;...;7,01;10,20;11,46;6,01;5,79;6,60;4,39;7,48;4,58;2,18;2,16;...;...;...;...;1,72;4,36;...;4,54
"260580 FREI MIGUELINHO";...;...;...;...;...;...;...;...;...;...;...;...;...;0,33;0,12;0,11;0,08;-;-;...;...;-;...;0,10
"260590 GAMELEIRA";...;...;28,96;14,14;13,16;19,90;26,17;21,05;14,19;18,98;19,09;...;10,32;5,18;7,13;4,64;3,65;...;5,07;...;...;2,19;...;13,22
"260600 GARANHUNS";...;...;...;...;...;...;...;...;...;...;...;...;...;2,26;1,04;1,04;0,82;5,63;2,35;1,44;3,93;2,20;...;2,09
"260610 GLORIA DO GOITA";...;...;9,07;...;8,67;9,05;12,38;7,17;5,84;2,88;0,88;0,44;1,83;1,45;...;-;1,17;2,11;1,15;...;5,37;2,60;...;5,78
"260620 GOIANA";...;...;...;...;...;...;...;11,85;11,71;10,75;7,92;7,81;6,15;6,21;6,02;4,08;1,92;3,57;1,81;2,04;2,11;1,16;...;5,93
"260640 GRAVATA";...;...;...;...;...;...;...;...;...;...;...;...;...;0,35;0,22;0,13;0,41;0,35;0,24;0,13;0,08;0,19;...;0,24
"260650 IATI";...;...;...;...;...;...;...;...;...;...;...;...;...;...;-;...;0,63;...;...;...;1,23;0,84;...;0,76
"260680 IGARASSU";...;...;...;...;...;2,40;2,81;1,71;2,36;0,18;-;1,46;0,89;0,36;1,34;0,37;0,29;0,45;0,20;-;...;...;...;1,06
"260720 IPOJUCA";...;...;...;...;...;...;10,85;7,16;5,36;10,07;12,62;10,18;7,88;3,34;1,53;2,66;1,83;2,82;7,84;...;100,00;4,28;...;6,91
"260760 ILHA DE ITAMARACA";...;...;18,09;1,82;12,50;13,15;4,83;2,13;4,57;3,67;0,92;0,14;3,76;4,74;0,91;2,02;1,41;2,18;1,00;...;...;100,00;...;4,74
"260765 ITAMBE";...;...;13,16;10,85;10,55;14,99;8,79;2,56;13,15;15,06;6,54;8,47;2,86;3,64;5,49;2,15;1,67;1,97;1,42;3,51;...;1,52;...;5,85
"260775 ITAPISSUMA";...;...;...;...;...;...;...;...;...;...;...;...;...;0,48;7,89;1,28;2,19;3,16;0,89;-;...;...;...;2,77
"260780 ITAQUITINGA";...;...;...;...;...;15,72;...;38,88;19,80;30,07;11,17;40,00;17,95;5,73;5,16;0,57;2,89;73,24;...;...;-;10,58;...;16,93
"260790 JABOATAO DOS GUARARAPES";...;...;...;...;9,85;7,56;4,43;3,39;3,75;3,23;4,19;4,22;2,68;2,12;2,03;2,19;2,90;1,35;1,97;2,43;1,52;2,36;3,15;3,74
"260795 JAQUEIRA";...;17,46;...;13,12;12,97;7,59;15,02;9,23;11,36;10,17;17,76;...;15,51;21,95;15,37;3,03;17,08;2,40;16,71;7,25;13,39;6,04;1,98;12,15
"260800 JATAUBA";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;1,30;...;...;...;...;...;...;...;1,30
"260810 JOAO ALFREDO";...;...;...;...;...;...;...;...;...;...;...;...;...;5,68;4,37;1,94;1,15;0,96;1,27;1,04;0,59;0,40;...;2,25
"260820 JOAQUIM NABUCO";-;...;...;13,26;10,47;3,73;3,46;7,87;4,59;...;1,52;6,20;1,52;4,01;4,47;1,54;1,07;4,95;4,38;...;...;-;...;4,74
"260840 JUREMA";...;...;...;...;...;...;...;...;...;...;...;...;...;0,72;1,91;0,32;0,68;0,27;0,19;0,19;1,01;0,13;...;0,57
"260845 LAGOA DO CARRO";...;...;...;...;...;...;...;...;...;...;...;...;...;3,24;3,05;2,60;2,54;6,57;...;...;...;2,67;...;3,15
"260850 LAGOA DE ITAENGA";...;...;...;...;...;...;...;...;...;...;...;...;...;3,38;2,03;2,76;1,30;1,21;2,64;...;8,75;15,45;...;3,96
"260860 LAGOA DO OURO";...;...;...;...;...;...;...;...;...;...;...;...;...;1,03;1,29;0,93;0,37;0,24;...;...;-;-;...;0,98
"260870 LAGOA DOS GATOS";...;...;...;8,93;6,55;5,35;...;...;...;4,08;3,87;1,64;2,72;2,58;-;1,16;...;...;1,54;3,55;1,39;2,00;1,36;3,30
"260890 LIMOEIRO";...;...;...;...;...;...;...;...;...;...;...;...;...;4,48;1,04;0,43;...;2,05;1,05;0,76;...;0,32;...;1,67
"260900 MACAPARANA";...;...;5,63;5,40;7,98;3,63;6,17;2,06;1,84;5,85;2,83;1,98;3,04;5,54;8,00;5,52;5,96;3,70;3,50;2,61;1,95;2,85;...;4,47
"260910 MACHADOS";...;...;...;...;...;...;...;...;...;...;...;...;...;4,04;3,36;4,02;3,75;7,04;4,41;-;...;9,09;...;4,05
"260920 MARAIAL";...;...;15,78;14,98;14,73;10,08;2,64;7,23;14,91;6,95;19,12;40,00;10,83;2,71;...;19,69;11,79;15,57;0,76;...;...;...;...;12,97
"260940 MORENO";...;...;...;...;...;...;...;...;...;3,00;5,46;3,69;4,85;3,93;3,36;1,08;1,29;1,94;1,35;...;2,34;1,08;...;3,19
"260950 NAZARE DA MATA";...;...;...;...;20,21;12,94;20,39;14,58;9,39;5,27;5,96;6,23;4,59;1,39;1,28;0,70;2,62;6,32;5,48;4,23;4,98;2,80;...;5,45
"260960 OLINDA";...;-;...;...;...;...;...;3,82;1,60;2,73;0,95;0,88;1,74;2,22;1,17;1,47;0,87;0,30;0,61;...;...;1,45;...;1,63
"260970 OROBO";...;...;...;25,41;12,91;10,16;1,88;0,65;0,06;0,94;0,18;0,86;2,53;1,97;2,22;1,35;...;-;-;0,28;0,77;...;...;2,97
"261000 PALMARES";...;...;...;6,60;7,81;2,88;2,89;2,22;6,90;4,64;4,49;7,00;5,36;9,54;9,55;7,43;10,24;19,01;6,98;4,51;6,20;6,46;2,93;6,79
"261010 PALMEIRINA";...;...;...;...;...;...;...;...;...;...;...;...;...;2,92;0,92;-;2,75;0,67;1,71;...;...;...;...;1,06
"261020 PANELAS";...;...;...;...;...;...;...;...;...;...;...;...;...;0,24;0,11;0,08;-;-;0,22;...;...;...;...;0,11
"261050 PASSIRA";...;...;7,27;3,50;4,55;4,02;3,83;3,03;2,30;4,44;3,84;3,64;0,64;0,88;1,24;0,69;1,09;1,27;0,17;...;-;-;...;2,62
"261060 PAUDALHO";...;...;...;...;...;...;...;...;...;...;...;...;...;5,60;5,15;4,34;...;3,17;2,49;...;...;...;...;3,99
"261070 PAULISTA";...;...;...;...;...;...;...;3,85;1,15;4,50;3,82;1,53;2,71;0,60;0,65;0,47;2,36;0,48;1,18;1,21;1,58;2,02;...;1,97
"261090 PESQUEIRA";...;...;...;...;...;...;...;...;...;...;...;...;...;-;-;-;0,06;-;-;...;...;...;...;0,01
"261130 POMBOS";...;...;...;32,14;...;6,29;2,98;...;4,43;3,91;3,44;2,96;2,74;6,53;2,19;2,75;0,59;0,45;0,65;...;...;...;...;3,14
"261140 PRIMAVERA";...;...;...;7,83;25,49;9,52;11,65;4,85;18,70;5,11;6,00;10,43;8,31;8,16;14,01;7,35;1,43;2,54;1,65;...;17,11;0,47;...;8,72
"261150 QUIPAPA";...;6,28;10,81;4,18;7,56;10,49;3,53;4,82;9,24;2,88;11,96;33,15;8,53;5,03;1,47;1,29;1,34;2,92;4,70;...;3,75;0,90;...;5,44
"261170 RIACHO DAS ALMAS";...;...;...;...;...;...;...;...;...;...;...;...;...;0,53;0,14;-;-;-;...;...;...;-;...;0,14
"261180 RIBEIRAO";20,00;...;12,34;8,36;7,48;4,71;5,81;3,17;10,00;5,93;3,89;4,55;3,89;2,91;3,16;2,08;1,33;1,64;0,93;0,90;1,35;1,35;-;4,09
"261190 RIO FORMOSO";...;...;35,05;49,75;46,50;16,02;30,00;21,72;7,69;18,11;40,43;...;12,06;7,94;12,97;0,34;0,60;3,55;3,78;3,02;2,73;2,16;0,92;13,51
"261200 SAIRE";...;...;...;...;...;...;...;...;...;...;1,51;1,99;1,03;1,04;1,07;0,17;...;...;0,32;...;...;0,46;...;1,04
"261210 SALGADINHO";...;...;...;...;-;...;...;...;2,16;0,54;0,70;1,76;...;1,22;0,97;0,99;0,39;0,39;-;...;0,34;...;...;0,87
"261230 SALOA";...;...;...;...;...;...;...;...;...;...;...;...;...;0,64;0,44;0,81;1,33;1,44;1,16;2,94;...;3,88;...;1,15
"261240 SANHARO";...;...;...;...;...;...;...;...;...;...;...;...;...;-;...;-;-;-;-;-;-;0,10;...;0,02
"261250 SANTA CRUZ DO CAPIBARIBE";...;...;...;...;...;...;...;...;...;...;...;...;...;0,44;0,74;0,73;0,59;1,41;1,40;0,49;1,08;2,06;...;0,87
"261270 SANTA MARIA DO CAMBUCA";...;...;...;...;...;...;...;...;...;...;...;...;...;...;0,30;-;0,14;0,16;0,12;-;...;-;...;0,13
"261290 SAO BENEDITO DO SUL";...;...;-;11,56;15,98;18,14;14,40;24,65;26,44;25,73;26,81;28,21;15,08;7,29;5,81;5,72;4,56;2,56;1,50;2,77;0,83;1,08;2,24;10,58
"261300 SAO BENTO DO UNA";...;...;...;...;...;...;...;...;...;...;...;...;...;0,17;0,49;-;0,32;0,44;0,44;0,45;...;-;...;0,33
"261310 SAO CAITANO";...;...;...;...;...;...;...;...;...;...;...;...;...;-;-;-;-;0,07;-;3,20;...;-;...;0,09
"261320 SAO JOAO";...;...;...;...;...;...;...;...;...;...;...;...;...;3,23;3,45;2,68;3,00;1,25;1,48;1,01;1,04;0,55;...;2,02
"261330 SAO JOAQUIM DO MONTE";...;...;...;...;...;...;...;...;...;...;...;...;...;0,88;0,56;0,34;0,34;0,08;0,04;-;0,25;0,05;...;0,33
"261340 SAO JOSE DA COROA GRANDE";...;...;2,86;-;6,11;7,84;1,48;9,99;3,03;4,40;10,54;5,36;6,43;4,50;5,57;2,51;3,26;1,27;2,12;25,00;0,69;...;...;5,01
"261370 SAO LOURENCO DA MATA";50,00;...;...;...;...;4,88;7,23;12,35;...;8,40;5,75;11,12;7,78;4,85;2,93;3,58;5,21;7,42;4,21;...;3,44;1,03;...;6,64
"261380 SAO VICENTE FERRER";...;...;...;...;18,12;17,08;2,74;13,51;20,80;24,76;19,07;13,38;1,81;1,76;2,09;0,88;1,79;1,60;1,78;2,37;5,55;1,31;...;5,87
"261420 SIRINHAEM";...;...;...;1,01;7,23;2,64;10,61;2,26;21,88;5,02;21,99;26,71;...;0,09;4,15;0,66;0,44;0,50;0,13;...;...;...;...;4,58
"261450 SURUBIM";...;...;...;...;...;...;...;...;...;...;...;...;...;0,94;0,65;0,33;-;0,36;0,25;...;0,29;0,12;...;0,45
"261470 TACAIMBO";...;...;...;...;...;...;...;...;...;...;...;...;...;0,07;-;-;-;-;-;...;...;...;...;0,02
"261485 TAMANDARE";-;...;...;12,34;26,29;23,93;15,56;18,74;15,77;6,11;-;...;5,31;2,28;0,90;0,71;3,59;...;5,06;...;11,63;3,68;...;9,30
"261500 TAQUARITINGA DO NORTE";...;...;...;...;...;...;...;...;...;...;...;...;...;0,15;-;-;0,67;-;-;30,00;...;0,28;...;0,23
"261510 TEREZINHA";...;...;...;...;...;...;...;...;...;...;...;...;...;1,14;0,13;0,15;0,92;1,06;1,24;0,63;0,13;0,32;...;0,67
"261530 TIMBAUBA";...;...;...;...;14,39;14,82;14,33;7,13;9,98;12,59;7,49;6,76;6,69;5,43;3,73;5,01;4,41;3,20;3,03;4,95;4,02;6,59;...;7,39
"261540 TORITAMA";...;...;...;...;...;...;...;...;...;...;...;...;...;0,35;0,68;0,66;0,53;1,02;0,29;...;...;...;...;0,63
"261550 TRACUNHAEM";...;...;...;...;...;...;...;...;...;...;...;...;...;5,40;3,02;-;...;...;...;...;...;41,80;...;5,64
"261618 VERTENTE DO LERIO";...;...;...;...;...;...;...;...;...;...;...;...;...;0,82;1,31;0,87;-;0,28;0,55;0,22;-;0,17;...;0,55
"261620 VERTENTES";...;...;...;...;...;...;...;...;...;...;...;...;...;1,00;1,67;1,30;1,06;0,88;0,62;0,61;0,52;0,53;...;0,99
"261630 VICENCIA";...;...;...;25,40;32,78;16,16;19,97;19,18;4,56;27,80;22,78;11,02;15,13;5,39;4,12;2,52;3,07;2,04;0,89;0,64;1,18;0,98;...;9,12
"261640 VITORIA DE SANTO ANTAO";...;...;...;...;13,17;13,29;10,87;5,23;5,98;3,81;4,69;10,07;13,02;5,05;8,76;1,65;4,50;1,30;1,53;9,68;2,83;0,69;...;6,22
"261650 XEXEU";...;...;...;5,32;10,67;18,77;...;...;5,88;1,00;4,74;13,67;13,92;7,23;7,95;5,00;3,96;5,48;8,83;13,89;...;1,65;...;7,39
"Total";25,41;12,80;16,55;13,25;13,22;11,55;10,31;9,95;9,01;8,30;7,33;5,65;5,42;3,40;3,00;2,30;2,52;2,36;2,10;1,66;2,30;1,82;2,54;5,34
 Fonte: MS/SVSA/DEDT/CGHDE  
 Notas:
 
  As informações são apresentadas somente para as Unidades da Federação endêmicas nos períodos em que foram realizados inquéritos pelo PCE e ou os dados que foram recepcionados pelo PCE Nacional.
  Dados de 2022 e 2023, atualizados em 07/09/2025, sujeitos à revisão.
 
