REGISTRO DE EVENTOS EM SAÚDE PÚBLICA (RESP-Microcefalia) - PE
Frequência por Município de notificação e Ano da notificação
Período:2015-2024
"Município de notificação";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"Total"
"260805 JATOBA";-;1;-;-;-;-;-;-;-;-;1
"260810 JOAO ALFREDO";2;2;-;-;-;-;-;-;-;-;4
"260820 JOAQUIM NABUCO";1;1;-;-;-;-;-;-;-;-;2
"260825 JUCATI";3;3;-;-;-;-;-;-;-;-;6
"260830 JUPI";5;1;-;-;-;-;-;-;-;-;6
"260840 JUREMA";-;2;-;-;-;-;-;-;-;-;2
"260845 LAGOA DO CARRO";3;2;-;-;-;-;-;-;-;-;5
"260850 LAGOA DE ITAENGA";2;3;-;-;-;-;-;-;-;-;5
"260860 LAGOA DO OURO";2;6;-;-;-;-;-;-;-;-;8
"260870 LAGOA DOS GATOS";1;2;-;-;-;-;1;-;-;-;4
"260880 LAJEDO";9;2;2;-;-;-;-;-;-;-;13
"260890 LIMOEIRO";6;7;-;1;-;-;-;1;-;1;16
"260900 MACAPARANA";1;2;-;-;-;-;-;-;-;-;3
"260910 MACHADOS";-;1;-;-;-;-;-;-;-;-;1
"260915 MANARI";2;2;1;-;-;-;-;-;-;-;5
"260920 MARAIAL";-;2;-;-;-;-;-;-;-;-;2
"260930 MIRANDIBA";1;2;-;-;-;-;-;-;-;-;3
"260940 MORENO";5;7;-;-;-;-;-;-;-;-;12
"260950 NAZARE DA MATA";2;4;2;1;-;-;-;1;-;-;10
"260960 OLINDA";36;22;1;2;4;1;2;-;-;-;68
"260970 OROBO";2;2;-;-;-;-;-;-;1;-;5
"260980 OROCO";-;3;1;-;-;1;-;-;-;-;5
"260990 OURICURI";19;14;9;19;4;3;3;1;-;1;73
"261000 PALMARES";6;6;1;3;-;4;-;-;-;-;20
"261010 PALMEIRINA";-;1;-;-;-;-;-;-;-;-;1
"261020 PANELAS";1;1;-;-;-;-;-;-;-;-;2
"261030 PARANATAMA";6;4;-;-;-;1;-;-;-;-;11
"261040 PARNAMIRIM";6;4;-;-;-;-;-;-;-;-;10
"261050 PASSIRA";2;-;-;-;-;-;-;-;-;-;2
"261060 PAUDALHO";6;4;-;-;-;-;-;-;-;-;10
"261070 PAULISTA";19;14;1;-;-;1;-;-;-;-;35
"261080 PEDRA";3;4;-;-;-;-;-;-;-;-;7
"261090 PESQUEIRA";3;3;-;1;-;2;-;-;-;-;9
"261100 PETROLANDIA";3;10;-;1;2;1;1;-;-;-;18
"261110 PETROLINA";9;26;18;34;29;47;33;24;25;10;255
"261120 POCAO";2;2;-;1;-;-;-;-;-;-;5
"261130 POMBOS";2;2;-;-;-;-;-;-;-;-;4
"261140 PRIMAVERA";-;2;-;-;-;-;-;-;-;-;2
"261150 QUIPAPA";1;4;-;-;-;-;-;-;-;-;5
"261153 QUIXABA";3;-;-;-;-;-;-;-;-;-;3
"261160 RECIFE";322;360;122;107;155;37;26;15;22;3;1169
"261170 RIACHO DAS ALMAS";1;2;-;-;-;-;-;-;-;-;3
"261180 RIBEIRAO";4;5;1;-;-;-;-;1;-;-;11
"261190 RIO FORMOSO";2;3;-;-;-;-;-;-;-;-;5
"261220 SALGUEIRO";7;8;4;5;6;-;1;-;-;-;31
"261230 SALOA";2;-;-;-;-;-;-;-;-;-;2
"261240 SANHARO";3;2;-;-;-;-;-;-;-;-;5
"261245 SANTA CRUZ";4;-;1;-;-;-;-;-;-;-;5
"261247 SANTA CRUZ DA BAIXA VERDE";-;4;-;1;-;-;-;-;-;-;5
"261250 SANTA CRUZ DO CAPIBARIBE";8;11;2;1;-;-;-;-;-;-;22
"261255 SANTA FILOMENA";1;-;-;-;-;-;1;-;-;-;2
"261260 SANTA MARIA DA BOA VISTA";3;3;-;-;-;-;-;1;-;-;7
"261280 SANTA TEREZINHA";1;-;-;-;-;-;-;-;-;-;1
"261300 SAO BENTO DO UNA";12;9;1;-;-;-;-;-;-;-;22
"261310 SAO CAITANO";4;7;-;-;-;-;-;-;-;-;11
"261320 SAO JOAO";3;2;-;-;-;-;-;-;-;-;5
"261330 SAO JOAQUIM DO MONTE";3;1;-;-;-;-;-;-;-;-;4
"261340 SAO JOSE DA COROA GRANDE";3;-;-;-;-;-;-;-;-;-;3
"261350 SAO JOSE DO BELMONTE";7;2;-;-;1;-;-;-;-;-;10
"261360 SAO JOSE DO EGITO";13;3;2;1;-;-;-;-;-;-;19
"261370 SAO LOURENCO DA MATA";10;13;1;1;1;-;-;-;-;-;26
"261380 SAO VICENTE FERRER";1;2;-;-;-;-;-;-;1;-;4
"261390 SERRA TALHADA";23;8;3;3;2;1;-;-;-;-;40
"261400 SERRITA";6;-;-;-;-;-;-;-;-;-;6
"261410 SERTANIA";3;9;-;1;-;-;-;-;-;-;13
"261420 SIRINHAEM";7;1;-;-;-;-;-;-;-;-;8
"261430 MOREILANDIA";1;3;-;-;1;-;-;-;-;-;5
"261440 SOLIDAO";1;-;-;-;-;-;-;-;-;-;1
"261450 SURUBIM";5;2;-;-;-;-;-;-;-;-;7
"261460 TABIRA";8;1;1;-;-;-;-;-;-;-;10
"261470 TACAIMBO";-;2;-;-;-;-;-;-;-;-;2
"261480 TACARATU";-;12;-;2;1;-;-;-;-;-;15
"261485 TAMANDARE";1;2;1;-;-;-;-;-;-;-;4
"261500 TAQUARITINGA DO NORTE";-;1;-;-;-;-;-;-;-;-;1
"261510 TEREZINHA";3;-;-;-;1;-;-;-;-;-;4
"261520 TERRA NOVA";-;2;-;1;-;-;-;-;-;-;3
"261530 TIMBAUBA";2;4;-;-;-;-;-;-;-;-;6
"261540 TORITAMA";2;3;-;-;-;-;-;-;1;-;6
"261560 TRINDADE";3;4;-;-;-;-;-;-;-;-;7
"261570 TRIUNFO";3;4;-;-;-;-;-;-;-;-;7
"261580 TUPANATINGA";2;8;-;-;-;-;-;-;-;-;10
"261590 TUPARETAMA";1;2;-;-;-;-;-;-;-;-;3
"261600 VENTUROSA";2;8;1;-;-;-;-;-;-;-;11
"261610 VERDEJANTE";1;1;-;-;-;-;-;-;-;-;2
"261618 VERTENTE DO LERIO";1;-;-;-;-;-;-;-;-;-;1
"261620 VERTENTES";4;2;-;-;-;-;-;-;-;-;6
"261630 VICENCIA";1;2;-;-;-;-;-;-;-;-;3
"261640 VITORIA DE SANTO ANTAO";42;17;11;15;4;17;8;4;4;-;122
"261650 XEXEU";1;-;-;-;-;-;-;-;-;-;1
"Total";1166;1186;235;236;235;143;98;61;64;20;3444
 Fonte: Ministério da Saúde/SVS - REGISTRO DE EVENTOS EM SAÚDE PÚBLICA (RESP-Microcefalia)
 Notas:
 
 Data da atualização dos dados 07/2024.
 Entre 2015 e março de 2016, as notificações foram realizadas na vigência do Protocolo de Vigilância e Resposta à Ocorrência de Microcefalia
      Relacionada à Infecção pelo Vírus Zika, publicado em 09 de dezembro de 2015 ("https://bit.ly/3gfJN7t"). A partir de 24 de março de 2016,
      as notificações eram realizadas com base no Protocolo de Vigilância e Resposta à Ocorrência de Microcefalia e/ou Alterações do Sistema Nervoso
      Central (SNC). A partir de 12 de dezembro de 2016, as notificações passaram a ser realizadas com base no documento Orientações Integradas de
      Vigilância e Atenção à Saúde no Âmbito da Emergência de Saúde Pública de Importância Nacional ("https://bit.ly/3obHMO3"). Atualmente,
      o documento Guia de Vigilância em Saúde - 6ª edição ("https://bit.ly/40MrkWA") é o documento de referência para a notificação, investigação e
      conclusão dos casos suspeitos de SCZ em todo o território nacional.
 Devem ser considerados casos confirmados para a Síndrome Congênita associada à infecção pelo vírus Zika aqueles com classificação final igual a “confirmado” e etiologia igual a “Vírus Zika”.
 
